sitename,electrificationpolename,kilometer,kilolon,kilolat,
藤枝～六合,本１２,201512,138.239605,34.845475,201510
藤枝～六合,副１３,201561,138.23907,34.845348,201560
藤枝～六合,本１３,201561,138.23907,34.845348,201560
藤枝～六合,副１４,201611,138.238545,34.845221,201610
藤枝～六合,本１４,201611,138.238545,34.845221,201610
藤枝～六合,副１５,201661,138.23803,34.845097,201660
藤枝～六合,本１５,201661,138.23803,34.845097,201660
藤枝～六合,副１６,201712,138.237505,34.844968,201710
藤枝～六合,本１６,201712,138.237505,34.844968,201710
藤枝～六合,副１７,201762,138.23698,34.844844,201760
藤枝～六合,本１７,201762,138.23698,34.844844,201760
藤枝～六合,副１８,201812,138.236455,34.844718,201810
藤枝～六合,本１８,201812,138.236455,34.844718,201810
藤枝～六合,副１９,201863,138.235875,34.844578,201865
藤枝～六合,本１９,201863,138.235875,34.844578,201865
藤枝～六合,副２０,201913,138.235343,34.844451,201915
藤枝～六合,本２０,201913,138.235343,34.844451,201915
藤枝～六合,副２１,201963,138.234818,34.844326,201965
藤枝～六合,本２１,201963,138.234818,34.844326,201965
藤枝～六合,副２２,202013,138.234303,34.8442,202015
藤枝～六合,本２２,202013,138.234303,34.8442,202015
藤枝～六合,注４,202042,138.23404,34.844137,202040
藤枝～六合,副２３,202061,138.23383,34.844087,202060
藤枝～六合,本２３,202061,138.23383,34.844087,202060
藤枝～六合,副２４,202111,138.233305,34.843962,202110
藤枝～六合,本２４,202111,138.233305,34.843962,202110
藤枝～六合,副２５,202162,138.23278,34.843836,202160
藤枝～六合,本２５,202162,138.23278,34.843836,202160
藤枝～六合,副２６,202211,138.232255,34.843712,202210
藤枝～六合,本２６,202211,138.232255,34.843712,202210
藤枝～六合,副２８－１,202311,138.231205,34.843461,202310
藤枝～六合,副２８,202314,138.231153,34.843448,202315
藤枝～六合,本２８,202314,138.231153,34.843448,202315
藤枝～六合,副２９,202364,138.230628,34.843322,202365
藤枝～六合,本２９,202364,138.230628,34.843322,202365
藤枝～六合,副３０,202412,138.230155,34.843208,202410
藤枝～六合,本３０,202412,138.230155,34.843208,202410
藤枝～六合,副３１,202452,138.229725,34.843106,202450
藤枝～六合,本３１,202452,138.229725,34.843106,202450
藤枝～六合,副３２,202498,138.2292,34.842981,202500
藤枝～六合,本３２,202498,138.2292,34.842981,202500
藤枝～六合,副３２－１,202502,138.2292,34.842981,202500
藤枝～六合,副３３,202543,138.228728,34.842868,202545
藤枝～六合,本３３,202543,138.228728,34.842868,202545
藤枝～六合,副３４,202593,138.228203,34.842743,202595
藤枝～六合,本３４,202593,138.228203,34.842743,202595
藤枝～六合,副３５,202630,138.227825,34.842653,202630
藤枝～六合,本３５,202630,138.227825,34.842653,202630
藤枝～六合,副３６,202680,138.22729,34.842525,202680
藤枝～六合,本３６,202680,138.22729,34.842525,202680
藤枝～六合,副３７,202723,138.226818,34.842412,202725
藤枝～六合,本３７,202723,138.226818,34.842412,202725
藤枝～六合,副３８,202773,138.226303,34.842289,202775
藤枝～六合,本３８,202773,138.226303,34.842289,202775
藤枝～六合,副３９,202823,138.225788,34.842166,202825
藤枝～六合,本３９,202823,138.225788,34.842166,202825
藤枝～六合,副４０,202873,138.225263,34.84204,202875
藤枝～六合,本４０,202873,138.225263,34.84204,202875
藤枝～六合,副４１,202923,138.224738,34.841914,202925
藤枝～六合,本４１,202923,138.224738,34.841914,202925
藤枝～六合,副４２,202973,138.224213,34.841788,202975
藤枝～六合,本４２,202973,138.224213,34.841788,202975
藤枝～六合,副４３,203022,138.22374,34.841675,203020
藤枝～六合,本４３,203022,138.22374,34.841675,203020
藤枝～六合,副４４,203072,138.223215,34.841549,203070
藤枝～六合,本４４,203072,138.223215,34.841549,203070
藤枝～六合,副４５,203122,138.22269,34.841424,203120
藤枝～六合,本４５,203122,138.22269,34.841424,203120
藤枝～六合,副４６,203172,138.222175,34.841301,203170
藤枝～六合,本４６,203172,138.222175,34.841301,203170
藤枝～六合,副４７,203222,138.22165,34.84117,203220
藤枝～六合,本４７,203222,138.22165,34.84117,203220
藤枝～六合,副４８,203265,138.221168,34.841059,203265
藤枝～六合,本４８,203265,138.221168,34.841059,203265
藤枝～六合,副４９－１,203313,138.220633,34.840931,203315
藤枝～六合,副４９,203315,138.220633,34.840931,203315
藤枝～六合,本４９,203315,138.220633,34.840931,203315
藤枝～六合,副５０－１,203363,138.220118,34.840806,203365
藤枝～六合,副５０,203365,138.220118,34.840806,203365
藤枝～六合,本５０,203365,138.220118,34.840806,203365
藤枝～六合,副５１,203415,138.219593,34.840681,203415
藤枝～六合,本５１,203415,138.219593,34.840681,203415
藤枝～六合,副５２,203464,138.219068,34.840555,203465
藤枝～六合,本５２,203464,138.219068,34.840555,203465
藤枝～六合,副５３,203512,138.218595,34.840442,203510
藤枝～六合,本５３,203512,138.218595,34.840442,203510
藤枝～六合,副５４,203562,138.21807,34.840316,203560
藤枝～六合,本５４,203562,138.21807,34.840316,203560
藤枝～六合,副５５,203613,138.217493,34.840177,203615
藤枝～六合,本５５,203613,138.217493,34.840177,203615
藤枝～六合,副５６,203663,138.216968,34.840051,203665
藤枝～六合,本５６,203663,138.216968,34.840051,203665
藤枝～六合,副５７,203714,138.216443,34.839925,203715
藤枝～六合,副５７－１,203714,138.216443,34.839925,203715
藤枝～六合,本５７,203714,138.216443,34.839925,203715
藤枝～六合,副５８,203766,138.215908,34.839796,203765
藤枝～六合,本５８,203766,138.215908,34.839796,203765
藤枝～六合,副５９,203814,138.215393,34.83966,203815
藤枝～六合,本５９,203814,138.215393,34.83966,203815
藤枝～六合,副６０,203864,138.214868,34.83952,203865
藤枝～六合,本６０,203864,138.214868,34.83952,203865
藤枝～六合,副６１,203914,138.214353,34.839376,203915
藤枝～六合,本６１,203914,138.214353,34.839376,203915
藤枝～六合,副６２,203962,138.21389,34.839247,203960
藤枝～六合,本６２,203962,138.21389,34.839247,203960
藤枝～六合,副６３,204012,138.213365,34.839105,204010
藤枝～六合,本６３,204012,138.213365,34.839105,204010
藤枝～六合,副６４,204062,138.21285,34.838961,204060
藤枝～六合,本６４,204062,138.21285,34.838961,204060
藤枝～六合,副６５,204112,138.212325,34.838817,204110
藤枝～六合,本６５,204112,138.212325,34.838817,204110
